NomeEstacao;CodEstacao;Bacia;SubBacia;Operadora;Responsavel;Municipio-UF;Latitude;Longitude;Altitude;CodRio;NomeRio;Origem;StatusEstacao
UHE BELO MONTE BR230;351004;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;VITÓRIA DO XINGU-PA;-3,1267;-51,7906;33;0;;Setor Elétrico;Ativo
UHE BELO MONTE SÍTIO PIMENTAL;351005;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;VITÓRIA DO XINGU-PA;-3,3758;-51,9403;110;0;;Setor Elétrico;Ativo
UHE BELO MONTE VISTA ALEGRE;352009;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;ALTAMIRA-PA;-3,1186;-52,2525;125;0;;Setor Elétrico;Ativo
UHE BELO MONTE SÃO FRANCISCO;352010;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;ALTAMIRA-PA;-3,2533;-52,3489;124;0;;Setor Elétrico;Ativo
UHE BELO MONTE JOARI;652002;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;SÃO FÉLIX DO XINGÚ-PA;-6,5603;-52,0764;0;0;;Setor Elétrico;Ativo
MÂNCIO LIMA;772006;1;12;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;MÂNCIO LIMA-AC;-7,5936;-72,9261;216;0;;RHN;Ativo
CARUARU;835106;3;39;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;CARUARU-PE;-8,3028;-36,0108;545;39600000;RIO IPOJUCA;RHN;Ativo
MORRINHOS;946005;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;ALTO PARNAÍBA-MA;-9,6247;-46,2903;356;0;;RHN;Ativo
SENA MADUREIRA;968006;1;13;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;SENA MADUREIRA-AC;-9,0586;-68,6592;190;0;;RHN;Ativo
SANTA ROSA;970003;1;13;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;SANTA ROSA DO PURUS-AC;-9,4386;-70,4922;219;0;;RHN;Ativo
JORDÃO;971002;1;12;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;JORDÃO-AC;-9,19389;-71,94917;239;0;;RHN;Ativo
UHE ESTREITO RIO PONTE ALTA;1047009;2;22;00791 - CONS.CESTE - Consórcio Estreito Energia - CESTE;00791 - CONS.CESTE - Consórcio Estreito Energia - CESTE;PONTE ALTA DO TOCANTINS-TO;-10,7461;-47,5372;316;0;;Setor Elétrico;Ativo
UHE COLÍDER METEOROLÓGICA;1055005;1;17;00028 - COPEL - Copel Geração e Transmissão S.A;00028 - COPEL - Copel Geração e Transmissão S.A;COLIDER-MT;-10,9547;-55,7781;0;0;;Setor Elétrico;Ativo
PCH ÂNGELO CASSOL MONTANTE;1162007;1;15;00768 - ÂNGELO CASSOL - Hidroelétrica Ângelo Cassol Ltda.;00768 - ÂNGELO CASSOL - Hidroelétrica Ângelo Cassol Ltda.;ALTA FLORESTA D''OESTE-RO;-11,9292;-62,0878;292;0;;Setor Elétrico;Ativo
PCH MONTE BELO MONTANTE;1162008;1;15;00307 - ELETROSSOL - Centrais Elétricas Cassol Ltda.-ELETROSSOL;00307 - ELETROSSOL - Centrais Elétricas Cassol Ltda.-ELETROSSOL;ALTA FLORESTA D''OESTE-RO;-11,9556;-62,1794;316;0;;Setor Elétrico;Ativo
PCH SALDANHA PLU;1162011;1;15;01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.;01109 - HIDROLUZ - Hidroluz Centrais Elétricas Ltda.;ALTA FLORESTA D''OESTE-RO;-11,9586;-62,1839;310;0;;Setor Elétrico;Ativo
PCH CABIXI MONTANTE;1260008;1;15;00686 - CASSOL - Cassol Centrais Elétricas Ltda.;00686 - CASSOL - Cassol Centrais Elétricas Ltda.;VILHENA-RO;-12,8992;-60,1083;612;0;;Setor Elétrico;Ativo
PCH CASCATA CHUPINGUAIA PLU;1260012;1;15;00561 - CHUPINGUAIA - Hidroelétrica Chupinguaia Ltda.;00561 - CHUPINGUAIA - Hidroelétrica Chupinguaia Ltda.;CHUPINGUAIA-RO;-12,8542;-60,8506;267;0;;Setor Elétrico;Ativo
CGH SANTA LUZIA DOESTE PLU;1261002;1;15;00559 - BERGAMIN - Hidroelétrica Bergamin Ltda.;00559 - BERGAMIN - Hidroelétrica Bergamin Ltda.;ALTO ALEGRE DOS PARECIS-RO;-12,3433;-61,7692;356;0;;Setor Elétrico;Ativo
UHE MANSO MET;1455013;6;66;00809 - CONS.MANSO - Consórcio UHE Manso;00809 - CONS.MANSO - Consórcio UHE Manso;CHAPADA DOS GUIMARÃES-MT;-14,8614;-55,7894;344;0;;Setor Elétrico;Ativo
PCH MACHADO MINEIRO PASSAGEM DAS ÉGUAS;1542030;5;53;00239 - HORIZONTES - Horizontes Energia S.A.;00239 - HORIZONTES - Horizontes Energia S.A.;RIO DO PRADO-MG;-15,6092;-42,5417;0;0;;Setor Elétrico;Ativo
PZ_FAZ SANTA HELENA;1543028;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;JAÍBA-MG;-15,3736;-43,6842;0;0;;RHN;Ativo
PZ_LINHA II;1543029;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;JAÍBA-MG;-15,3847;-43,7292;0;0;;RHN;Ativo
PZ_PROJ JAÍBA;1543030;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;JAÍBA-MG;-15,2608;-43,775;0;0;;RHN;Ativo
PZ_FAZENDA MATA VELHA;1543031;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;JAÍBA-MG;-15,3328;-43,7686;0;0;;RHN;Ativo
PZ_BARREIRO VERMELHO;1543032;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;JAÍBA-MG;-15,375;-43,6642;0;0;;RHN;Ativo
ANA SEDE;1547032;6;60;00001 - ANA - Agência Nacional de Águas;00001 - ANA - Agência Nacional de Águas;BRASÍLIA-DF;-15,8181;-47,945;1150;0;;Açudes Semiárido;Ativo
ANA SEDE (COTA ONLINE);1547032;6;60;00001 - ANA - Agência Nacional de Águas;00001 - ANA - Agência Nacional de Águas;BRASÍLIA-DF;-15,81805;-47,945;1150;0;;CotaOnline;Ativo
ANA SEDE - TELEMÉTRICA;1547079;6;60;00001 - ANA - Agência Nacional de Águas;00001 - ANA - Agência Nacional de Águas;BRASÍLIA-DF;-15,8181;-47,945;1150;0;;RHN;Ativo
UHE SERRA DA MESA BARRO ALTO;1548050;2;20;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;BARRO ALTO-GO;-15,1175;-48,9242;584;0;;Setor Elétrico;Ativo
PZ_BOM JARDIM;1643045;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;SÃO JOÃO DA PONTE-MG;-16,1108;-43,8531;0;0;;RHN;Ativo
PZ_BARRA DO RIO VERDE;1643046;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;MONTES CLAROS-MG;-16,1761;-43,7742;0;0;;RHN;Ativo
PZ_PELG;1643047;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;MONTES CLAROS-MG;-16,7056;-43,7672;0;0;;RHN;Ativo
PZ_ETE VIEIRA;1643048;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;MONTES CLAROS-MG;-16,6872;-43,8544;0;0;;RHN;Ativo
PZ_FAZENDA REATA;1643049;4;44;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;CAPITÃO ENÉAS-MG;-16,065;-43,7306;0;0;;RHN;Ativo
UHE BATALHA CRISTALINA;1647002;6;60;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;CRISTALINA-GO;-16,7881;-47,6033;1173;0;;Setor Elétrico;Ativo
UHE BATALHA FAZENDA BURITI;1647023;6;60;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;CRISTALINA-GO;-16,9683;-47,3419;881;0;;Setor Elétrico;Ativo
UHE BATALHA SÍTIO OLHO D' ÁGUA;1647024;6;60;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;UNAÍ-MG;-16,3892;-47,1508;974;0;;Setor Elétrico;Ativo
LASSANCE;1744010;4;41;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;LASSANCE-MG;-17,89;-44,5767;536;0;;RHN;Ativo
UHE SERRA DO FACÃO CLIMATOLÓGICA;1747012;6;60;00334 - SERRA DO FACÃO - Serra do Facão Energia S.A.;00334 - SERRA DO FACÃO - Serra do Facão Energia S.A.;CATALÃO-GO;-17,8772;-47,7014;0;0;;Setor Elétrico;Ativo
UHE ITUMBIARA PIRACANJUBA;1749015;6;60;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;PIRACANJUBA-GO;-17,3106;-49,0219;730;0;;Setor Elétrico;Ativo
PCH TRONQUEIRAS SE GOVERNADOR VALADARES;1841029;5;56;01061 - CEMIG LESTE - CEMIG Geração Leste S.A.;01061 - CEMIG LESTE - CEMIG Geração Leste S.A.;GOVERNADOR VALADARES-MG;-18,855;-41,96;0;0;;Setor Elétrico;Ativo
UHE ITUMBIARA TUPACIGUARA;1848055;6;60;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;TUPACIGUARA-MG;-18,6217;-48,6847;917;0;;Setor Elétrico;Ativo
UHE ITUMBIARA ÁGUA LIMPA;1848059;6;60;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;ÁGUA LIMPA-GO;-18,0747;-48,7564;711;0;;Setor Elétrico;Ativo
UHE ITUMBIARA FAZENDA ROSAS;1848060;6;60;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;ANHANGUERA-GO;-18,3233;-48,2264;0;0;;Setor Elétrico;Ativo
CGH SANTA LUZIA SE ITUIUTABA;1849035;6;60;00023 - CEMIG - CEMIG Geração e Transmissão S.A;00023 - CEMIG - CEMIG Geração e Transmissão S.A;ITUIUTABA-MG;-18,9636;-49,4483;0;0;;Setor Elétrico;Ativo
UHE SÁ CARVALHO SE MESQUITA;1942033;5;56;00624 - SÁ CARVALHO - Sá Carvalho S.A;00624 - SÁ CARVALHO - Sá Carvalho S.A;MESQUITA-MG;-19,4169;-42,5492;0;0;;Setor Elétrico;Ativo
CGH SANTA LUZIA SE SERRA DO SALITRE;1946024;6;60;00023 - CEMIG - CEMIG Geração e Transmissão S.A;00023 - CEMIG - CEMIG Geração e Transmissão S.A;SERRA DO SALITRE-MG;-19,1183;-46,6817;0;0;;Setor Elétrico;Ativo
PCH MARTINS SE UBERABA;1947032;6;61;01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.;01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.;UBERABA-MG;-19,7197;-47,9142;0;0;;Setor Elétrico;Ativo
ROSÁRIO DA LIMEIRA;2042051;5;58;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;ROSÁRIO DA LIMEIRA-MG;-20,97888;-42,50944;0;0;;RHN;Ativo
CGH NOVA PONTE QUEIMADA II BARRAMENTO;2042436;5;56;01132 - LIMPA - Energia Limpa Participações Ltda.;01132 - LIMPA - Energia Limpa Participações Ltda.;RIO CASCA-MG;-20,2769;-42,6517;350;0;;Setor Elétrico;Ativo
CONSELHEIRO LAFAIETE;2043005;4;40;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;CONSELHEIRO LAFAIETE-MG;-20,625;-43,7536;996;0;;RHN;Ativo
UHE PETI SÃO GONÇALO DO RIO ACIMA;2043063;5;56;01061 - CEMIG LESTE - CEMIG Geração Leste S.A.;01061 - CEMIG LESTE - CEMIG Geração Leste S.A.;BARÃO DE COCAIS-MG;-20,0253;-43,5392;0;0;;Setor Elétrico;Ativo
CONSELHEIRO LAFAIETE;2043133;4;40;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;00001 - ANA - Agência Nacional de Águas;CONSELHEIRO LAFAIETE-MG;-20,625;-43,7536;996;0;;RHN;Ativo
UHE CAJURU FAZENDA CAMPO GRANDE;2044063;4;40;01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.;01071 - CEMIG OESTE - CEMIG Geração Oeste S.A.;PASSA TEMPO-MG;-20,6261;-44,4378;0;0;;Setor Elétrico;Ativo
LAGOA DOURADA;2044079;4;40;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;LAGOA DOURADA-MG;-20,91027;-44,0775;0;13330000;RIO ACRE;RHN;Ativo
CGH ANIL SE PIMENTA;2045031;6;61;00023 - CEMIG - CEMIG Geração e Transmissão S.A;00023 - CEMIG - CEMIG Geração e Transmissão S.A;PIMENTA-MG;-20,4683;-45,7931;0;0;;Setor Elétrico;Ativo
UHE MARECHAL MASCARENHAS DE MORAES ITAÚ DE MINAS;2046031;6;61;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;ITAÚ DE MINAS-MG;-20,7489;-46,7436;0;0;;Setor Elétrico;Ativo
UHE LUIZ CARLOS BARRETO DE CARVALHO MET;2047115;6;61;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;PEDREGULHO-SP;-20,1583;-47,2781;725;0;;Setor Elétrico;Ativo
UHE PORTO COLÔMBIA PLU;2048096;6;61;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;PLANURA-MG;-20,1192;-48,5731;0;0;;Setor Elétrico;Ativo
UHE MARIMBONDO MET;2049070;6;61;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;FRONTEIRA-MG;-20,2925;-49,1967;454;0;;Setor Elétrico;Ativo
SÃO SEBASTIÃO DA VARGEM ALEGRE;2142096;5;58;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;SÃO SEBASTIÃO DA VARGEM ALEGRE-MG;-21,0725;-42,63694;0;0;;RHN;Ativo
MIRAI;2142097;5;58;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;00101 - IGAM-MG - Instituto Mineiro de Gestão das Águas;MIRAÍ-MG;-21,19472;-42,61583;0;0;;RHN;Ativo
PCH MARMELOS SE JUIZ DE FORA;2143064;5;58;01060 - CEMIG SUL - CEMIG Geração Sul S.A.;01060 - CEMIG SUL - CEMIG Geração Sul S.A.;JUIZ DE FORA-MG;-21,7114;-43,4031;0;0;;Setor Elétrico;Ativo
PCH MARMELOS CHAPÉU D'UVAS;2143162;5;58;01060 - CEMIG SUL - CEMIG Geração Sul S.A.;01060 - CEMIG SUL - CEMIG Geração Sul S.A.;JUIZ DE FORA-MG;-21,5853;-43,5272;746;0;;Setor Elétrico;Ativo
UHE LUIZ CARLOS BARRETO DE CARVALHO BOA ESPERANÇA;2145048;6;61;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;BOA ESPERANÇA-MG;-21,0878;-45,5686;772;0;;Setor Elétrico;Ativo
PCH WALTER ROSSI (ANTAS II) BARRAGEM DO CIPÓ;2146112;6;61;00232 - DMEDISTR - DME Distribuição S/A;00232 - DMEDISTR - DME Distribuição S/A;POÇOS DE CALDAS-MG;-21,8528;-46,6094;1268;0;;Setor Elétrico;Ativo
FAZENDA DAS FLORES;2147012;6;61;00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...;00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...;CRAVINHOS-SP;-21,3333;-47,7833;720;0;;RHN;Ativo
FAZENDA RESFRIADO;2147013;6;61;00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...;00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...;RIBEIRÃO PRETO-SP;-21,3;-47,9333;590;0;;RHN;Ativo
CRAVINHOS;2147014;6;61;00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...;00010 - DAEE-SP - Departamento de Águas e Energia Elétrica do E...;CRAVINHOS-SP;-21,3667;-47,7167;700;0;;RHN;Ativo
UHE SIMPLÍCIO FAZENDA SANTA MÔNICA;2243507;5;58;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;VALENÇA-RJ;-22,3608;-43,6978;0;0;;Setor Elétrico;Ativo
UHE SIMPLÍCIO METEOROLÓGICA;2243508;5;58;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;SAPUCAIA-RJ;-22,0389;-43,0006;414;0;;Setor Elétrico;Ativo
UEL VIGÁRIO PASSO TRÊS;2244107;5;58;00008 - LIGHT - Light Energia S.A;00008 - LIGHT - Light Energia S.A;RIO CLARO-RJ;-22,6925;-44,0069;450;0;;Setor Elétrico;Ativo
UHE FUNIL RESENDE AEROPORTO;2244161;5;58;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;RESENDE-RJ;-22,4756;-44,4736;0;0;;Setor Elétrico;Ativo
UHE FUNIL GUARATINGUETÁ;2245032;5;58;00069 - FURNAS - Furnas Centrais Elétricas S.A.;00069 - FURNAS - Furnas Centrais Elétricas S.A.;GUARATINGUETÁ-SP;-22,8089;-45,2008;558;0;;Setor Elétrico;Ativo
UHE SALTO GRANDE FAZENDA SÃO PAULO;2249113;6;64;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;ÁGUAS DE SANTA BARBARA-SP;-22,7619;-49,2431;643;0;;Setor Elétrico;Ativo
UHE CANOAS I CÂNDIDO MOTTA;2250097;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;PLATINA-SP;-22,7533;-50,4694;437;0;;Setor Elétrico;Ativo
UHE CANOAS I PLATINA;2250098;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;PLATINA-SP;-22,6081;-50,1808;472;0;;Setor Elétrico;Ativo
UHE CANOAS II IBIRAREMA;2250099;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;IBIRAREMA-SP;-22,8664;-50,0936;432;0;;Setor Elétrico;Ativo
UHE CANOAS II PALMITAL;2250100;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;PALMITAL-SP;-22,7222;-50,1358;530;0;;Setor Elétrico;Ativo
UHE TAQUARUÇU ANHUMAS;2251080;6;64;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;ANHUMAS-SP;-22,2997;-51,4303;451;0;;Setor Elétrico;Ativo
UHE TAQUARUÇU CENTENÁRIO DO SUL;2251081;6;64;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;CENTENÁRIO DO SUL-PR;-22,8317;-51,6028;514;0;;Setor Elétrico;Ativo
PCH PORTO GÓES BOM JARDIM;2346469;6;62;00084 - EMAE - EMAE;00084 - EMAE - EMAE;JUNDIAÍ-SP;-23,1525;-46,99;732,55;0;;Setor Elétrico;Ativo
UHE JURUMIRIM BREJAUVA;2347192;6;64;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;SÃO MIGUEL ARCANJO-SP;-23,7856;-47,6356;745;0;;Setor Elétrico;Ativo
UHE CANOAS I BAIRRO MORRO CAVADO;2348090;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;BURI-SP;-23,7122;-48,7042;666;0;;Setor Elétrico;Ativo
UHE CANOAS II FAZENDA TRÊS LAGOAS;2348092;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;ANGATUBA-SP;-23,4283;-48,44;712;0;;Setor Elétrico;Ativo
UHE CHAVANTES FAZENDA SÃO JOÃO;2349076;6;64;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;RIVERSUL-SP;-23,8517;-49,395;659,8;0;;Setor Elétrico;Ativo
PCH APUCARANINHA MONTANTE 2;2351080;6;64;00028 - COPEL - Copel Geração e Transmissão S.A;00028 - COPEL - Copel Geração e Transmissão S.A;APUCARANA-PR;-23,5175;-51,5303;0;0;;Setor Elétrico;Ativo
UHE CANOAS I BAIRRO CACHIMBA;2448071;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;APIAÍ-SP;-24,4831;-48,7769;880;0;;Setor Elétrico;Ativo
UHE CANOAS I BAIRRO CANTAGALO;2448072;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;ITAPEVA-SP;-24,0936;-48,6389;950;0;;Setor Elétrico;Ativo
UHE CANOAS II CAPÃO LIMPO;2448073;6;64;00800 - CONS.CANOAS - Consórcio UHE Canoas;00800 - CONS.CANOAS - Consórcio UHE Canoas;CAPÃO BONITO-SP;-24,0714;-48,1825;635;0;;Setor Elétrico;Ativo
UHE CHAVANTES BERTANHOLI;2449067;6;64;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;00131 - PARANAPANEMA - Rio Paranapanema Energia S.A;ITARARÉ-SP;-24,0903;-49,3292;725;0;;Setor Elétrico;Ativo
BOM JARDIM MONTANTE;2450009;6;64;00052 - IAT-PR - Instituto Água e Terra do Paraná;00052 - IAT-PR - Instituto Água e Terra do Paraná;TIBAGI-PR;-24,6778;-50,4844;750;0;;RHN;Ativo
UHE ITAIPU MANOEL RIBAS;2451057;6;64;00090 - ITAIPU - Itaipu Binacional;00090 - ITAIPU - Itaipu Binacional;MANOEL RIBAS-PR;-24,5133;-51,665;878;0;;Setor Elétrico;Ativo
UHE ITAIPU SANTA MARIA;2451059;6;64;00090 - ITAIPU - Itaipu Binacional;00090 - ITAIPU - Itaipu Binacional;SANTA MARIA DO OESTE-PR;-24,9333;-51,8833;550;0;;Setor Elétrico;Ativo
UHE ITAIPU UBIRATÃ;2452062;6;64;00090 - ITAIPU - Itaipu Binacional;00090 - ITAIPU - Itaipu Binacional;UBIRATÃ-PR;-24,5533;-52,9858;530;0;;Setor Elétrico;Ativo
CGH MARUMBI GUARATUBA;2548079;8;82;00028 - COPEL - Copel Geração e Transmissão S.A;00028 - COPEL - Copel Geração e Transmissão S.A;GUARATUBA-PR;-25,8453;-48,5803;0;0;;Setor Elétrico;Ativo
CGH MARUMBI ANTONINA;2548098;8;82;00028 - COPEL - Copel Geração e Transmissão S.A;00028 - COPEL - Copel Geração e Transmissão S.A;ANTONINA-PR;-25,2433;-48,7522;0;0;;Setor Elétrico;Ativo
ENTREMAR;2549113;6;65;00052 - IAT-PR - Instituto Água e Terra do Paraná;00052 - IAT-PR - Instituto Água e Terra do Paraná;PIRAQUARA-PR;-25,4892;-49,0408;900;0;;RHN;Ativo
UHE SALTO SANTIAGO GUARAPUAVA;2551015;6;65;00112 - ENGIE - Engie Brasil Energia S.A.;00112 - ENGIE - Engie Brasil Energia S.A.;GUARAPUAVA-PR;-25,3656;-51,4956;1051;0;;Setor Elétrico;Ativo
UHE SALTO SANTIAGO GOIOXIM;2551063;6;65;00112 - ENGIE - Engie Brasil Energia S.A.;00112 - ENGIE - Engie Brasil Energia S.A.;GUARAPUAVA-PR;-25,2406;-51,9275;917;0;;Setor Elétrico;Ativo
UHE SALTO OSÓRIO PINHÃO;2551069;6;65;00112 - ENGIE - Engie Brasil Energia S.A.;00112 - ENGIE - Engie Brasil Energia S.A.;PINHÃO-PR;-25,6617;-51,6622;1070;0;;Setor Elétrico;Ativo
UHE FUNDÃO GUARAPUAVA;2551070;6;65;00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR;00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR;GUARAPUAVA-PR;-25,3847;-51,4939;0;0;;Setor Elétrico;Ativo
UHE FUNDÃO PINHÃO;2551071;6;65;00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR;00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR;PINHÃO-PR;-25,6492;-51,9625;0;0;;Setor Elétrico;Ativo
UHE SANTA CLARA ENTRE RIOS;2551072;6;65;00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR;00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR;GUARAPUAVA-PR;-25,5458;-51,4883;0;0;;Setor Elétrico;Ativo
UHE SALTO OSÓRIO LARANJEIRAS DO SUL;2552009;6;65;00112 - ENGIE - Engie Brasil Energia S.A.;00112 - ENGIE - Engie Brasil Energia S.A.;LARANJEIRAS DO SUL-PR;-25,3978;-52,435;810;0;;Setor Elétrico;Ativo
UHE SALTO SANTIAGO CHOPINZINHO PLU;2552030;6;65;00112 - ENGIE - Engie Brasil Energia S.A.;00112 - ENGIE - Engie Brasil Energia S.A.;CHOPINZINHO-PR;-25,86;-52,5269;738;0;;Setor Elétrico;Ativo
UHE ITÁ CAÇADOR PLU;2650035;7;72;00804 - CONS.ITÁ - Consórcio UHE Itá;00804 - CONS.ITÁ - Consórcio UHE Itá;CAÇADOR-SC;-26,8192;-50,9856;960;0;;Setor Elétrico;Ativo
COOPERATIVA TRITÍCOLA SANANDUVA;2751063;7;72;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;SANANDUVA-RS;-27,9589;-51,7956;0;0;;RHN;Ativo
PARQUE DE EVENTOS PINHAL DA SERRA;2751066;7;70;00266 - SEMA-RS - SEMA-RS;00266 - SEMA-RS - SEMA-RS;PINHAL DA SERRA-RS;-27,8792;-51,1769;0;0;;RHN;Ativo
