NomeEstacao;CodEstacao;Bacia;SubBacia;Operadora;Responsavel;Municipio-UF;Latitude;Longitude;Altitude;CodRio;NomeRio;Origem;StatusEstacao
ITUQUARA;29745020;2;29;00003 - DNIT - DNIT;00003 - DNIT - DNIT;BAIÃO-PA;-3,0331;-49,6461;0;20001000;RIO TOCANTINS;RHN;Ativo
MOCAJUBA;29745050;2;29;00003 - DNIT - DNIT;00003 - DNIT - DNIT;MOCAJUBA-PA;-2,5775;-49,51;0;20001000;RIO TOCANTINS;RHN;Ativo
VILA DO CARMO;29745100;2;29;00003 - DNIT - DNIT;00003 - DNIT - DNIT;CAMETÁ-PA;-2,4497;-49,4417;0;20001000;RIO TOCANTINS;RHN;Ativo
CAMETÁ;29745150;2;29;00003 - DNIT - DNIT;00003 - DNIT - DNIT;CAMETÁ-PA;-2,2467;-49,4961;0;20001000;RIO TOCANTINS;RHN;Ativo
ESTIRÃO DO CRICOU;30050000;3;30;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;OIAPOQUE-AP;3,7217;-51,9308;0;30100000;RIO OIAPOQUE;RHN;Ativo
PONTE CASSIPORE;30055000;3;30;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;OIAPOQUE-AP;2,9567;-51,4219;0;30300000;RIO CACIPÓRE;RHN;Ativo
CALÇOENE;30072150;3;30;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;CALÇOENE-AP;2,4942;-50,9533;0;30500000;RIO CALCOENE;RHN;Ativo
TARTARUGAL GRANDE;30075000;3;30;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;TARTARUGALZINHO-AP;1,3978;-50,925;0;30701000;RIO TARTARUGAL GRANDE;RHN;Ativo
CAPIVARA;30080000;3;30;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;PORTO GRANDE-AP;0,9861;-51,7064;0;30800000;RIO ARAGUARI;RHN;Ativo
UHE CACHOEIRA CALDEIRÃO MONTANTE 3;30189000;3;30;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;00513 - CALDEIRÃO S.A. - Empresa de Energia Cachoeira do Caldeirão S.A.;PORTO GRANDE-AP;-0,9089;-51,6039;70;30800000;RIO ARAGUARI;Setor Elétrico;Ativo
